OBJECTID,FarmNum,PresAbs,PondNum,PondRoost_Dist,PondArea,PondLong,PondLat
40,27,1,90,27930.46755,38202.90807,464412.5923,3580417.604
41,27,1,89,28072.36804,43533.01976,464316.8037,3580535.995
42,27,0,108,27476.15283,63169.56422,464976.2087,3580564.758
43,27,1,107,27673.73476,67644.83973,464782.3622,3580550
44,27,1,88,28183.64321,40312.59819,464263.6004,3580706.779
45,27,1,109,27152.98747,87165.32192,465264.7371,3580671.067
46,27,0,106,27938.58661,60077.28668,464558.1937,3580768.336
47,27,0,87,28322.88815,37745.9255,464172.3075,3580887.43
48,27,1,110,27246.88016,38902.37369,465277.6509,3580940.716
49,27,0,85,28647.98903,16907.03545,463899.3936,3580990.775
50,27,1,105,28104.18071,41420.61712,464429.0697,3581025.481
51,27,1,86,28463.38042,65524.16646,464050.4072,3581102.302
52,27,0,112,27610.23345,61777.68255,464961.1825,3581168.794
53,27,0,104,27992.09259,66465.62847,464593.9656,3581206.149
54,27,0,111,27439.47206,41803.23967,465184.9359,3581188.756
55,27,1,103,28293.27814,44325.48175,464287.1268,3581242.771
56,27,0,101,28255.75848,25091.45986,464412.2653,3581383.752
57,27,1,68,26699.1892,47029.4063,465990.7761,3581381.068
58,27,1,84,28665.54861,59485.45412,463923.706,3581380.141
59,27,0,102,28013.50271,50015.41694,464672.3196,3581467.085
60,27,0,64,27244.07079,26272.91613,465520.5516,3581533.125
61,27,0,67,26612.33402,39919.03829,466165.7552,3581525.566
62,27,0,66,26852.01816,27945.27749,465958.1864,3581585.874
63,27,0,100,28499.92383,53147.67072,464159.7457,3581505.982
64,27,0,63,27470.68989,13807.10024,465361.6606,3581664.296
65,27,0,61,26871.23191,21816.33805,465952.884,3581708.561
66,27,0,65,27103.45436,48055.16165,465613.7337,3581667.102
67,27,1,83,28868.95594,50440.85644,463811.4177,3581645.127
68,27,0,116,28461.70267,49018.04748,464270.4383,3581685.357
69,27,0,60,27113.40415,34543.41698,465701.4774,3581787.04
70,27,0,99,28709.3227,37203.46644,464010.7775,3581764.625
71,27,1,58,26697.99401,36431.15972,466179.8132,3581777.875
72,27,0,57,26874.60993,36887.75194,465989.2438,3581849.068
73,27,0,115,28420.47466,44047.49329,464400.2314,3581850.75
74,27,0,59,27419.77095,30566.31798,465433.4571,3581890.062
75,27,0,62,27576.21216,31090.92438,465234.066,3581883.568
76,27,0,56,27136.66994,40979.31881,465734.8,3581935.002
77,27,1,82,29073.69815,47408.40642,463690.8888,3581954.293
78,27,0,114,28287.59873,52708.91486,464538.2895,3582046.66
79,27,0,55,27417.05816,39077.54442,465485.9263,3582031.627
80,27,1,80,29426.70402,27113.76648,463385.2147,3582049.094
81,27,0,98,28903.06299,47734.86118,463906.5962,3582055.949
82,27,0,113,28460.95898,33245.57153,464457.7404,3582220.749
83,27,1,54,27685.94277,34661.10523,465209.6789,3582178.368
84,27,0,79,29561.86593,23867.75605,463319.0911,3582244.728
85,27,0,96,28784.97072,12895.17876,464198.5496,3582286.99
86,27,0,81,29275.85744,50441.80687,463555.521,3582229.599
87,27,1,97,28881.49846,64278.5146,464037.8129,3582270.511
88,27,0,93,29094.438,46935.73425,463778.6465,3582333.623
89,27,0,94,29103.56443,28619.2767,463881.6536,3582496.413
90,27,0,53,28082.10724,76200.19703,464923.9705,3582452.885
91,27,0,78,29497.71953,38624.09455,463430.2843,3582472.993
92,27,0,92,29364.63381,42141.54145,463619.4232,3582607.866
93,27,1,95,28866.40891,57146.9536,464137.8291,3582603.124
94,27,0,51,28287.67214,46614.95182,464729.656,3582635.108
95,27,0,52,28083.33415,35397.33766,465007.4623,3582686.827
96,27,1,126,25481.17674,74637.23585,467763.1991,3582872.13
97,27,1,50,28527.18771,47712.7323,464572.9881,3582884.96
98,27,0,127,26034.33792,39185.96112,467257.6504,3582865.796
99,27,1,128,26279.78981,96774.24966,466898.967,3582911.315
100,27,1,91,29384.90271,51702.52741,463759.9696,3582932.348
101,27,1,49,28394.63854,50422.85974,464846.2425,3583128.614
102,27,0,125,25799.69506,79780.17536,467551.2078,3583086.711
103,27,1,48,28112.87918,104951.4298,465160.3891,3583183.373
104,27,0,47,28298.31776,22477.70027,465094.1191,3583391.695
105,27,0,124,26077.09494,66247.06816,467412.4023,3583334.184
106,27,1,29,28982.93314,22560.76242,464363.475,3583445.611
107,27,0,46,28131.469,25342.14828,465300.6181,3583479.49
108,27,1,120,27225.4398,20286.60349,466280.9226,3583484.841
109,27,0,123,26272.92577,58867.04974,467133.1127,3583435.768
112,27,0,30,28689.8573,41835.80189,464711.3216,3583565.422
114,27,1,45,28138.8728,39900.35381,465309.8001,3583641.006
115,27,1,121,26929.88052,92874.24644,466487.7532,3583448.714
116,27,0,122,26868.28028,14248.98917,466760.1181,3583653.573
119,27,1,117,27654.0093,32956.92932,465884.4493,3583717.156
120,27,0,44,28165.24057,45521.83634,465292.5341,3583788.338
121,27,0,118,27416.79958,38934.86333,466149.1608,3583749.165
122,27,0,43,28144.73445,6578.525543,465495.1875,3583863.709
123,27,1,28,28889.73674,65590.8601,464503.3025,3583766.037
124,27,1,119,27064.58014,74786.12478,466467.6269,3583787.044
127,27,0,25,29673.80608,48079.84,463726.4055,3583840.412
130,27,0,42,28274.93263,34856.22371,465278.2175,3583947.862
131,27,0,26,29371.02073,42443.94468,464127.5011,3583942.713
132,27,1,41,28197.26354,31647.99203,465453.7757,3584063.99
133,27,0,27,29140.40638,42686.0736,464417.943,3584089.291
134,27,1,33,28582.99659,67931.23744,464986.9463,3584082.412
135,27,1,39,28432.08488,24877.38404,465249.9682,3584145.533
138,27,0,40,28301.96033,32062.51902,465422.2465,3584269.365
139,27,1,23,29449.34662,76231.1229,464101.0603,3584185.964
